video_id,viewCount,favoriteCount,dislikeCount,likeCount,duration,publishedAt,elapsed_time,category_term,watchTime,numShare,numSubscriber,averageViewDuration,numParent,numChild,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,WC,WPS,Sixltr,Dic,Numerals,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,neg,neu,pos,compound,num_EnglishComments,engagement,comment_percentage,discussion_density,like_percentage,dislike_percentage,like_dislike_ratio,share_percentage
XcYO0EN-yJQ,2603482,0,404,4925,126,2013-04-13T05:52:42.000Z,855,Entertainment,2622586.683,941,1939,61.32661472,307,39,0.347874307,0.113123845,0.068761553,0.036968577,0.001848429,0.008872458,0.017744917,0.003327172,0.037338262,0.039926063,0.099445471,0.058780037,0.015526802,0.068391867,0.007393715,0.035120148,0.06284658,0.034011091,0.01663586,0.020702403,0.003696858,0.014787431,0.069500924,0.003696858,0.001478743,0.019963031,0.093900185,0.07948244,0.014417745,0.001478743,0.006284658,0.001109057,0.107948244,0.00961183,0.006654344,0.025508318,0.020702403,0.017744917,0.0025878,0.023290203,0.018853974,0.042513863,0.027726433,0.0025878,0.00961183,0.048798521,0.025138632,0.002957486,0.026617375,0.006284658,0.052495379,0.006284658,0.029205176,0.023659889,0.015157116,0.014048059,0.015896488,0.000739372,0.001478743,0.007393715,0,0.008133087,0.002218115,20,2705,8.927392739,0.14676525,2.013678373,0,0.115341959,0.028465804,0.010720887,0.000739372,0.011829945,0.068761553,0.018114603,0.009981516,0.011829945,0.002772643,0.046580407,0.325138632,0.07,0.661,0.27,0.9996,115,0.486719164,0.000144038,0.104,0.001891697,0.000155177,0.924188403,0.000361439
Njrc3Zsi9fY,238028,0,365,1655,367,2014-11-30T20:49:15.000Z,259,Autos & Vehicles,655946.9,37,629,178.7142701,173,288,0.052679939,0.008422665,0.006431853,0.003675345,0.000153139,0.000306279,0.001990812,0.000306279,0.001684533,0.008882083,0.017917305,0.015007657,0.007503828,0.008422665,0.001837672,0.012404288,0.009954058,0.011638591,0.000612557,0.001071975,0.000612557,0.000918836,0.012098009,0.000918836,0,0.006125574,0.020214395,0.012863706,0.007350689,0,0.00474732,0,0.008269525,0.001531394,0.000306279,0.001378254,0.001378254,0.000459418,0.002143951,0.000612557,0.000153139,0.006431853,0.002143951,0.00245023,0.001684533,0.003675345,0.002756508,0.000306279,0.000612557,0.000153139,0.015313936,0.00229709,0.009954058,0.003062787,0.001071975,0.001071975,0.01914242,0.005819296,0.003062787,0.002603369,0.021592649,0.008575804,0.007350689,3,6530,16.87338501,0.139203675,0.374578867,0,0.056967841,0.023124043,0.025421133,0.004900459,0.021592649,0.00949464,0.005513017,0.002756508,0.001684533,0.008499234,0.045635528,0.205589587,0.1,0.826,0.075,-0.9948,187,0.486959864,0.002029173,0.596273292,0.006952964,0.001533433,0.819306931,0.000155444
L5elsrZr27M,139177,0,367,1442,431,2015-01-27T05:02:03.000Z,201,Entertainment,321446.2333,16,38,162.1609437,171,122,0.569170632,0.145649218,0.072059823,0.025832767,0.003399048,0.016485384,0.004078858,0.022263766,0.069170632,0.085825969,0.165533651,0.111488783,0.037049626,0.102991162,0.013766145,0.047076818,0.090584636,0.069850442,0.031101292,0.034330387,0.012066621,0.006458192,0.096872876,0.001019714,0.000849762,0.005268525,0.071380014,0.044527532,0.026682529,0.003738953,0.017335146,0.002209381,0.181339225,0.024473148,0.025662814,0.031271244,0.031441196,0.015295717,0.004078858,0.030591434,0.043847723,0.023793338,0.008667573,0.006288239,0.009347383,0.010367097,0.00492862,0.001189667,0.00424881,0.001869477,0.096023114,0.012406526,0.04435758,0.04010877,0.016825289,0.027192386,0.044017675,0.001189667,0.004418763,0.001019714,0.000509857,0.008327668,0.001019714,26,5884,14.42156863,0.15278722,2.766655337,0,0.066281441,0.027022434,0.00560843,0.00067981,0.010197145,0.011726717,0.004418763,0.005098572,0.028212101,0.003059143,0.020904147,0.183208702,0.114,0.744,0.143,0.9979,119,0.376243489,0.002220194,0.394822006,0.010360907,0.00263693,0.797125484,0.000114962
HY_Vk1yLf-s,2512,0,0,48,123,2014-07-19T15:39:09.000Z,393,Gaming,2909.85,0,15,70.94311256,12,12,0.0625,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0,0.0078125,0,0,0,0,0.015625,0.0234375,0,0,0,0,0,0,0.0234375,0.0234375,0,0,0,0,0.015625,0.0078125,0,0,0,0,0,0.0078125,0,0.0078125,0.0078125,0,0,0,0,0,0,0,0.0390625,0.015625,0.0234375,0,0.0078125,0,0.015625,0,0,0,0,0,0,0,128,11.63636364,0.1171875,0.3515625,0,0.0546875,0.015625,0.0234375,0,0.0625,0,0.015625,0,0,0,0.0625,0.234375,0.035,0.856,0.109,0.9034,12,0.576773273,0.009952229,0.48,0.01910828,0,1,0
nGi0L7yEhmo,4489,0,4,200,158,2015-04-05T06:35:40.000Z,133,Entertainment,7816.55,1,10,110.2993885,284,17,0.047664442,0.022402288,0.021925643,0.021925643,0,0,0,0,0.000476644,0.007626311,0.001429933,0.000476644,0.000476644,0.000953289,0,0,0.016682555,0,0,0.000476644,0.000476644,0,0.002859867,0.000953289,0,0.001429933,0.004766444,0.004766444,0,0,0,0,0.001429933,0.001429933,0,0,0,0.000476644,0,0,0,0.000953289,0.000953289,0,0,0.013822688,0,0.001906578,0.010962822,0.000953289,0.003336511,0.000476644,0.002383222,0.000476644,0.000476644,0.000476644,0.012869399,0.001906578,0.000476644,0.000476644,0.006196378,0.0042898,0,0,2098,10.23414634,0.107244995,0.224499523,0,0.015252622,0.014299333,0.014775977,0.001906578,0.109151573,0.010486177,0.036701621,0.001906578,0.000953289,0.004051478,0.040038132,0.249523356,0.006,0.933,0.061,0.9889,17,0.698097396,0.067721096,0.055921053,0.044553353,0.000891067,0.980392157,0.000222767
9e05uZ1yqSM,1014,0,0,32,69,2014-03-22T00:59:10.000Z,512,Entertainment,816.9666667,0,2,53.80680571,35,13,0.501840491,0.159509202,0.082208589,0.055214724,0.001226994,0.019631902,0.002453988,0.003680982,0.06993865,0.074846626,0.147239264,0.078527607,0.044171779,0.080981595,0.014723926,0.051533742,0.111656442,0.028220859,0.012269939,0.018404908,0.011042945,0.006134969,0.060122699,0.009815951,0.007361963,0.003680982,0.141104294,0.125153374,0.01595092,0.001226994,0.011042945,0.002453988,0.147239264,0.030674847,0.009815951,0.023312883,0.029447853,0.023312883,0.007361963,0.01595092,0.024539877,0.041717791,0.024539877,0.001226994,0.008588957,0.014723926,0.009815951,0,0.002453988,0.002453988,0.121472393,0.013496933,0.055214724,0.052760736,0.002453988,0.006134969,0.013496933,0.001226994,0,0.001226994,0.011042945,0.025766871,0.004907975,6,815,7.47706422,0.09202454,2.687116564,0,0.099386503,0.018404908,0.001226994,0,0.001226994,0.096932515,0.006134969,0.001226994,0.01595092,0.001840491,0.009815951,0.252147239,0.08,0.533,0.387,0.9999,13,0.779808778,0.047337278,0.270833333,0.031558185,0,1,0
BdKSuduBSoQ,103,0,2,12,502,2015-02-28T12:00:01.000Z,169,Howto & Style,332.8833333,0,2,201.7474747,16,15,0.460887949,0.175475687,0.109936575,0.073995772,0.002114165,0.027484144,0.00422833,0.002114165,0.054968288,0.038054968,0.147991543,0.076109937,0.029598309,0.109936575,0.006342495,0.038054968,0.084566596,0.054968288,0.00422833,0.019027484,0.012684989,0.006342495,0.084566596,0.016913319,0.002114165,0.016913319,0.118393235,0.099365751,0.019027484,0,0.00845666,0.002114165,0.156448203,0.006342495,0.019027484,0.023255814,0.031712474,0.014799154,0.010570825,0.035940803,0.033826638,0.025369979,0.016913319,0,0.00845666,0.012684989,0.012684989,0,0,0,0.095137421,0.019027484,0.040169133,0.046511628,0.00845666,0.00422833,0.019027484,0.002114165,0.014799154,0,0,0.014799154,0.002114165,5,473,23.65,0.114164905,2.591966173,0,0.023255814,0.038054968,0.002114165,0,0.002114165,0.023255814,0,0,0.029598309,0.001057082,0.027484144,0.146934461,0.072,0.609,0.319,0.9994,16,0.4018874,0.291262136,0.5,0.116504854,0.019417476,0.857142857,0
FaMZslA3noY,435110,0,137,2059,822,2015-05-06T02:16:45.000Z,102,Autos & Vehicles,1093901.517,463,380,169.8240052,156,82,0.53523271,0.152892562,0.084602001,0.038060026,0.001957373,0.031970422,0.006742062,0.005872118,0.063288386,0.069595476,0.148542845,0.098738582,0.027620705,0.097433667,0.013919095,0.050891692,0.102435842,0.058721183,0.017616355,0.026968247,0.004567203,0.00369726,0.078729883,0.001304915,0.001087429,0.007612005,0.05785124,0.042192258,0.015658982,0.001957373,0.005654632,0.002827316,0.154197477,0.01522401,0.017833841,0.028490648,0.030448021,0.015441496,0.006959548,0.032187908,0.034580252,0.034145281,0.020661157,0.004784689,0.006742062,0.011961722,0.006742062,0.000869943,0.004784689,0.000434972,0.119182253,0.024140931,0.054588952,0.042627229,0.018486298,0.016528926,0.013701609,0.003262288,0.009786864,0.000869943,0.000652458,0.008264463,0.001957373,23,4598,14.01829268,0.13353632,2.601783384,0,0.058068726,0.019573728,0.003044802,0.000434972,0.014789039,0.015876468,0.003044802,0.001739887,0.013919095,0.002283602,0.019138756,0.151913876,0.07,0.772,0.158,0.9996,82,0.206598546,0.000615936,0.305970149,0.004732137,0.000314863,0.937613843,0.001064099
VrMll7XG3Ys,8192,0,4,126,513,2015-05-25T19:00:00.000Z,83,People & Blogs,27220.28333,10,0,249.9566881,43,19,0.554112554,0.122655123,0.070707071,0.023809524,0.003607504,0.007936508,0.01010101,0.025252525,0.04978355,0.067099567,0.126262626,0.080808081,0.044011544,0.066378066,0.008658009,0.064213564,0.114718615,0.075757576,0.023809524,0.044011544,0.01010101,0.005772006,0.090909091,0.001443001,0,0.001443001,0.082251082,0.055555556,0.026695527,0.002886003,0.015151515,0.005772006,0.158730159,0.018037518,0.017316017,0.013708514,0.027417027,0.018037518,0.002886003,0.05988456,0.025974026,0.017316017,0.007936508,0.005050505,0.003607504,0.012987013,0.002886003,0.003607504,0.005050505,0.001443001,0.121212121,0.010822511,0.062770563,0.046176046,0.03030303,0.061327561,0.028138528,0.002164502,0.003607504,0.000721501,0,0.007215007,0.000721501,3,1386,13.32692308,0.126984127,2.660894661,0,0.070707071,0.04040404,0.000721501,0.001443001,0.022366522,0.007215007,0.015151515,0.004329004,0.021645022,0.006854257,0.025252525,0.216089466,0.098,0.71,0.191,0.9996,20,0.487245006,0.00769043,0.301587302,0.015380859,0.000488281,0.969230769,0.001220703
llLSF-xhjB8,3615,0,0,26,492,2013-10-20T12:14:47.000Z,665,People & Blogs,9591.816667,0,4,166.2359908,25,1,0.578531073,0.192090395,0.13220339,0.063276836,0.003389831,0.044067797,0,0.021468927,0.057627119,0.04180791,0.192090395,0.103954802,0.028248588,0.146892655,0.009039548,0.077966102,0.092655367,0.081355932,0.016949153,0.039548023,0.010169492,0,0.097175141,0,0.003389831,0.004519774,0.081355932,0.076836158,0.004519774,0.001129944,0.001129944,0.001129944,0.141242938,0.016949153,0.014689266,0.018079096,0.023728814,0.010169492,0.011299435,0.038418079,0.027118644,0.031638418,0.013559322,0.011299435,0,0.031638418,0.004519774,0.016949153,0.003389831,0.007909605,0.088135593,0.010169492,0.035028249,0.047457627,0.002259887,0.012429379,0.006779661,0,0.009039548,0.007909605,0,0.007909605,0.003389831,2,885,13.828125,0.167231638,2.859887006,0,0.037288136,0.025988701,0.012429379,0,0.001129944,0.051977401,0.002259887,0,0.027118644,0.007344633,0.015819209,0.181355932,0.025,0.69,0.285,0.9998,24,0.33787803,0.007192254,0.038461538,0.007192254,0,1,0
